SHLAA Ref,Address,Area ha,_something_,Capacity,I&O RAG,Settlement Hierarchy,Green/Brown,Reason,Easting,Northing
1077,"Old Lane - Nethertown Pig Farm, Drighlington  BD11 1LU",1.3,"",35,G,Smaller Settlement Extension,Brownfield,"Green Belt site.  The site is brownfield (previously developed), surrounded by existing housing and roads bounding the site, so well contained and development would have limited impact on the Green Belt.",423052,429410
1143B,"Old Thorpe Lane (land at), Tingley WF3",9.2,"",207,G,Smaller Settlement Extension,Greenfield,"Green Belt site. SHLAA site 1143 covers a significant area north of West Ardsley and has been split in six sections for the purposes of this assessment.  Site B has strong links to the settlement and is well contained by existing roads to the north and east, resulting in a low potential for further sprawl.  The south eastern corner is designated as a Park and Ride site in the existing UDP.",428796,426199
1143D,"Old Thorpe Lane (land at), Tingley WF3",18.3,"",412,G,Smaller Settlement Extension,Greenfield,"Green Belt site. SHLAA site 1143 covers a significant area north of West Ardsley and has been split in six sections for the purposes of this assessment.  Site D is well related to the existing settlement and has a road frontage along the southern and western boundaries.  The site is well contained as the motorway abuts the site from the north, consequently there is no opportunity for further sprawl into the Green Belt.",429226,426198
1171B,Whitehall Road (south of) - Harpers Farm,10.7,"",279,G,Main Urban Area Extension,Greenfield,"Green Belt site.  Relates well to main urban area. Existing development on three sites of site.  Sites 2078, 3056 4029 and 1171B could be linked dependent on the necessary infrastructure and link road from Whitehall Road to Gelderd Road.",425955,431377
1200A,"Highfield Drive/Harthill Lane (land off), Gildersome  LS27",3.4,"",76,G,Smaller Settlement Extension,Greenfield,"Green Belt site.  Development would partially round off the existing settlement.  Part of the site includes a designated proposed area of greenspace (N5) on the existing UDP.  See also greenspace section, page 37, question G12.",424936,429344
1220A,Churwell (land to the east of)  LS27,10.7,"",213,A,Major Settlement Extension,Greenfield,"Green Belt site.  The site has been split into A and B.  Site A has a road frontage, bounded by the railway to the east and residential development to the west.  Development would effectively 'round off' development on Churwell Hill.  Retention of the current allotment use on northern corner of the site would need to be considered in any detailed design.  Highways concerns re access.",427546,429552
1258,"Westerton Road (land to rear of), Tingley  WF3",1.6,"",43,G,Smaller Settlement Extension,Greenfield,"Green Belt site.  The site has a long road frontage and strong defensible boundary to south, so relates well to the existing settlement and development would not set a precedent for further sprawl.",429184,425440
1282,"Lane Side Farm,  PAS Morley",20.6,"",542,G,Major Settlement Extension,Greenfield,"The site is designated as Protected Area of Search (PAS) on the existing UDP, not within the Green Belt.  Flat agricultural land, between residential developments.  Change in levels from road to site.  No Highways issues.",426961,428895
1284A,"Albert Drive - Low Moor Farm Extension,  Morley",1.4,"",44,G,Major Settlement Extension,Greenfield,"Green Belt site.  Site A is the western part of the original SHLAA submission. This site is well related to the existing residential area and development would round off the built up area.  The site also has an existing defensible boundary, unlike site B.",427598,428315
1319,"Albert Road (land north of), Morley",2.5,"",63,A,Major Settlement Infill,Greenfield,Site is bounded by residential development to 2 sides and has road frontage for access.,427214,428108
1320,"Albert Drive - Lower Moor Farm PAS, Morley",7.2,"",190,G,Major Settlement Extension,Greenfield,"The site is designated as Protected Area of Search (PAS) on the existing UDP, not within the Green Belt. The site has good access to the highway, at the end of a residential road",427888,428199
1344,"Westfield Farm, Drighlington   BD11",0.6,"",17,G,Smaller Settlement Extension,Greenfield,Green Belt site.  The site is well contained by existing housing and road frontages and is effectively an infill site.,423094,429314
2036,"Rod Mills Lane, High Street, Morley",1.8,"",15,A,Major Settlement Infill,Brownfield,Site within the urban area.  Heavily treed. Convert existing mill.,426699,427368
2098A,"Sissons Farm, Middleton  LS10",1.2,"",38,G,Main Urban Area Extension,Greenfield,Green Belt site.  Original SHLAA submission split into 3.  Site A is small and relates well to the existing residential area.  Development of this site would constitute rounding off of the settlement.,429716,427071
2098C,"Sissons Farm, Middleton  LS10",7,"",184,A,Main Urban Area Extension,Greenfield,A Green Belt site that links well to the existing settlement. Site is part of a wider regeneration scheme for this area and development would contribute towards greenspace improvements as part of a wider community benefits package.,429504,427182
2105,"East Ardsley Adult Training Centre, Tingley  WF3",1.8,"",49,A,Smaller Settlement Extension,Greenfield,A Green Belt site that is well located adjacent to the existing settlement. Will need to reprovide playing pitch on site or improve provision elsewhere.,429582,425437
2124,Spring Gardens Drighlington,9.2,"",208,A,Smaller Settlement Extension,Greenfield,"The site is designated as Protected Area of Search (PAS) on the existing UDP, not within the Green Belt.  Development of the site is dependent on achieving access via adjoining site 3003.",422826,428975
3000,Land at Bradford Road Gildersome,2.3,"",52,A,Smaller Settlement Extension,Greenfield,"Green Belt site.  The site is relatively small and adjoining residential development to the east and south, with a cricket ground to the north, so is relatively well contained and would have relatively limited impact on the Green Belt.  A comprehensive development along with site 3064 could be considered.",424137,428420
3003,Land off King Street Drighlington,1.5,"",42,G,Smaller Settlement Infill,Greenfield,Site within existing settlement.  Residential use is considered acceptable in principle.  Adjoining site 2124 would require access through site 3003 to achieve access to highway.,422711,428831
3060A,"Gelderd Road/M621, Gildersome",7.7,"",203,R,Smaller Settlement Extension,Greenfield,Reduced site size retains the separation between Gildersome and Driglington and links with existing settlement.,425413,428992
3064,"Greystone Farm/Bungalow, Wakefield Road, Drighlington",16.3,"",341,A,Smaller Settlement Extension,Greenfield,"Green Belt site.  Whilst release of the site would be of significant scale, development could effectively 'round off' the settlement, especially if combined with site 3000.  A comprehensive development along with site 3000 could be considered.",423979,428697
3365,"Westerton Road, Tingley, Leeds",3.7,"",83,G,Smaller Settlement Extension,Greenfield,"Green Belt site.  The site has a long road frontage within established residential area, so relates well to the existing settlement and development would not set a precedent for further sprawl.  Southern area of the site is bounded by tree line.",429347,425446
3373A,"Haigh Wood, Ardsley",4.8,"",108,G,Smaller Settlement Infill,Greenfield,"Designated as N11 - open land on the existing UDP, not within the Green Belt.  Site 3373 has been split into 3.  Site A relates well to the existing settlement and release of this part of the site would not adversely impact on the openness of the central valley.  Any development would need to retain good public access into the valley.  The site was historically put forward as a housing allocation in the draft Morley local plan, and whilst not subsequently allocated, in considering the UDP, the Inspector conceded that development of some of the land for housing could not be ruled out.  This site is well screened from existing surrounding development, and development would still maintain open views across the middle section of the site (site B) which should be retained and enhanced.",428063,425192
3373C,"Haigh Wood, Ardsley",11.7,"",262,G,Smaller Settlement Infill,Greenfield,"Designated as N11 - open land on the existing UDP, not within the Green Belt.  Site 3373 has been split into 3.  Site C relates well to the existing settlement and release of this part of the site would not adversely impact on the openness of the central valley.  Any development would need to retain good public access into the valley.  The site was historically put forward as a housing allocation in the draft Morley local plan, and whilst not subsequently allocated, in considering the UDP, the Inspector conceded that development of some of the land for housing could not be ruled out.  This site is well screened from existing surrounding development, and development would still maintain open views across the middle section of the site (site B) which should be retained and enhanced.",428288,425035
3378,"Geldered Road, Leeds",3.8,"",85,G,Smaller Settlement Infill,Brownfield,"Brownfield site within the urban area, adjoining residential development to the north and east.  Residential development considered acceptable in principle.",424454,428656
3386,"Royds Lane, Wortley, Leeds",3.7,"",111,A,Main Urban Area Infill,Brownfield,"The site is currently a Makro store, in a mixed use (residential and employment) area, suitable for residential or employment uses in principle.",426916,431434
3394,"Dewsbury Road, Leeds, LS11 7DF",1.8,"",60,G,Main Urban Area Infill,Brownfield,"Brownfield site, within the urban area.  Suitable for residential use in principle.",428977,430085
3456A,Land off Haigh Moor Road,1.6,"",41,G,Smaller Settlement Extension,Greenfield,Green Belt site.  The site has been split into 2.  Development of site A would represent partial infill development and would retain the openness between the built up area and reservoir.,428572,424885
4002,"Park Lees site, St Anthony's Road, Beeston",0.5,"",18,G,Main Urban Area Infill,Brownfield,Previously a care home and now vacant.  The site is otherwise suitable for residential development in principle.,428480,430640
4004,"Thorpe Hill Farm, Lingwell Gate Lane, Thorpe",2.2,"",57,A,Other Rural Extension,Brownfield,"Green Belt site, surrounded by development, well contained and has a road frontage.",431509,426740
4028,"Thorpe Road, Middleton",1.2,"",44,G,Main Urban Area Infill,Greenfield,Vacant site in an existing residential area.  Suitable for residential development in principle.,430199,427739
4030,"Thorpe Road, Thorpe Crescent, Middleton",0.5,"",17,G,Main Urban Area Infill,Greenfield,Cleared site in residential area currently grassed. Would be suitable for residential development in principle.,430362,427627
4032,"Thorpe Road, Thorpe Square,  Middleton",0.7,"",26,G,Main Urban Area Infill,Brownfield,Cleared site in residential area currently grassed. Would be suitable for residential development in principle.,430545,427529
4034,"Acre Road, Sissons Drive, Middleton",0.4,"",14,G,Main Urban Area Infill,Brownfield,Flat grassed site in residential area previously occupied by  flats.  Suitable in principle for residential development.,429737,427620
4035,"Throstle Mount, Middleton",0.4,"",15,G,Main Urban Area Infill,Mix 60:40,"Site is within a residential area, is currently vacant and has had previous permission for housing.  Suitable in principle for residential development.",429877,427198
4053,Joseph Priestly College,0.4,"",14,G,Major Settlement Infill,Brownfield,"Existing building should be retained and converted, but suitable for residential in principle.",426730,427735
4211,"Archbold Holdings, Morley",3.2,"",77,NonIO,Major Settlement Infill,Brownfield,Develop site but retain green space as part of the layout.,427494,428238
5008,Westland Road,2,"",61,NonIO,Main Urban Area Infill,Mix 50:50,"Redeveloping the site for residential uses is acceptable in principle, although the site capacity needs to be considered carefully to allow for retention of tree belt on site boundary.",429490,429985
5144,Healey Croft Westerton Road West Ardsley,1.3,"",38,NonIO,Smaller Settlement Infill,Brownfield,Brownfield site within established residential area. Southern and south west  boundary of site adjoins the Green Belt. Appropriate boundary treatment required to reinforce GB boundary.,429525,425505
5147,Land at Parkwood Road Beeston,0.5,"",19,NonIO,Main Urban Area Infill,Brownfield,The site appears to be a former housing clearance site located within a predominantly residenitlal area. Redevelopment of the site to provide new housing would provide a positive improvement to the land.,428712,429306
1032,"Bradford Road (land off) , East Ardsley WF3",13.5,"",310,G,Smaller Settlement Extension,Greenfield,"The site is designated as Protected Area of Search (PAS) in the existing UDP, not within the Green Belt.   There are no physical constraints with the site, it is flat with a road frontage.",430019,425500
2078,"Gelderd Road (land to the south of), Wortley  LS12",11.7,"",315,A,Main Urban Area Extension,Greenfield,Site is  not required to meet the housing requirement but it could have longer term development potential therefore allocated as Safeguarded land (PAS),426844,431007
2125,"Manor House Farm, Churwell",3,"",80,G,Major Settlement Extension,Greenfield,"The site is designated as Protected Area of Search (PAS) on the existing UDP, not within the Green Belt.  Considered acceptable in principle for housing.",426947,429758
2127,Tingley Station,43.1,"",1050,A,Smaller Settlement Extension,Greenfield,"The site is designated as a Protected Area of Search (PAS) on the existing UDP, not within the Green Belt.   The site is located between three settlements (Morley, Tingley and Middleton) and is isolated by the Green Belt and motorway. This lack of connection to the urban area is the main constraint, as otherwise the site is flat with a road frontage. The on-site  infrastructure requirements in particular the connection with the main urban area need to be addressed.",428705,426699
2128,"New Lane, East Ardsley",3.8,"",90,G,Smaller Settlement Extension,Greenfield,"The site is designated as Protected Area of Search (PAS) on the existing UDP, not within the Green Belt.  No Highways issues raised.",430383,425753
126,"Valley Mills, Valley Road, Morley  LS27 8AA",3.9,"",116,R,Major Settlement Infill,Brownfield,"Site is within urban area, accessible to Morley town centre. Currently in employment use, bounded by steep hillside to the south and railway to the north. Access is over short, narrow bridge on unadopted private highway. Highways concerned about very poor access.",427285,428291
137B,"Britannia Road, Morley",2.8,"",87,R,Major Settlement Infill,Greenfield,Site B has employment uses to 3 sides including an access road through  from the existing employment uses.  The preferred use is employment.,426178,426574
148,"Thorpe-on-the-Lane, Thorpe",3.1,"",54,G,"",Brownfield,"The site is within the settlement and would be suitable for either employment or residential use. Site is unused land, with evidence of historic use - hardstanding etc.",431713,426716
171,Elwell Street (land off) - Thorpe,0.7,"",23,P,"",Greenfield,not within settlement hierarchy,431110,426318
173,"Main Street (58) - football ground rear of, East Ardsley",1.1,"",29,R,"",Greenfield,"Green Belt site. No existing defensible south eastern boundary, which could set a precedent for further sprawl. The site is an N6 protected playing pitch designation on the existing UDP. See also greenspace section, page 37, question G8. Highways concerns regarding access - would require third party land.",430904,425538
304,"Park Farm Industrial Estate, Westland Road, LS11",0.8,"",29,R,Main Urban Area Infill,Brownfield,Existing employment site within larger employment area. Employment considered the most appropriate use. Highways concerns regarding poor accessibility of site.,429647,429767
309,"Thorpe Hall, Middleton Lane, Thorpe",4.2,"",70,A,"",Mixed,"Part Green Belt site/part existing UDP employment allocation.  Development of the site would extend the settlement to the east and north. Development would need to consider the listed building on site which is paramount to any scheme. A limited enabling development, which would retain and enhance the listed building could be acceptable in principle.",431673,426979
314,"Haigh Moor Road - Boyle Hall, WA",0.9,"",9,R,Smaller Settlement Infill,Mixed,Site within the existing settlement. Significant tree cover including Tree Preservation Orders (TPOs) on site surrounding the main building which is listed.  Highway concerns re poor visibility at access.,428507,424722
343,"Gelderd Road (off), Gildersome",4.4,"",135,R,Smaller Settlement Infill,Brownfield,Existing employment area. Site has planning permission and work has started with one of the 4 proposed new  units now erected.,424410,428307
550,"Rein Road (32-34), Morley",0.4,"",15,P,Major Settlement Infill,Brownfield,minerals safeguard site,426941,426424
1018A,"Topcliffe Lane (land at), and Capitol Park (north of)  LS27",8.8,"",231,R,"",Greenfield,"Green Belt site. Steep sloping site down to beck which provides strong defensible boundary to existing residential area. Significant tree coverage on northern boundary, with well used public right of way bordering the site.  Site has no road access.",427503,427115
1018B,"Topcliffe Lane (land at), and Capitol Park (north of)  LS27",26.8,"",704,R,"",Greenfield,"Green Belt site.  Land on hill top overlooking neighbouring Topcliffe Farm, residential areas and Capitol Park. Site is separated by steep gulley and beck (site A) from residential area, with much better connection to existing Capitol Park business park.  Better suited to an employment use, if allocated at all.",427684,426923
1043,"Thorpe Lower Lane (Pylee House), Robin Hood  WF3 3BQ",1.9,"",58,R,"",Greenfield,"Green Belt site. The whole site is protected by a Tree Preservation Order.  It is also designated in the existing UDP as N1 greenspace.   See also greenspace section, page 37, question G9.  Whilst the site is well contained in terms of Green Belt with the motorway to the west the site is sloping and has significant constraints.",432219,427351
1064A,"Bruntcliffe Road and Scott lane, Morley Leeds LS27",7.6,"",227,R,Major Settlement Infill,Greenfield,Site within the urban area.  The adjacent site is in employment use.  This site has been identified as a site to retain for employment (see page 33 of Issues & Options document).,425153,427014
1064B,"Bruntcliffe Road and Scott lane, Morley Leeds LS27",1.3,"",11,G,Major Settlement Infill,Greenfield,This site is part of a recent planning permission (12/01332/OT) for residential development.  The site will become 'lime green' when the plan is updated.,425269,426829
1066,"Royston Hill, Bradford Road & Orchard Close, East Ardsley WF3",3.7,"",97,NonIO,"",Greenfield,There is no road frontage to the site and therefore access to the site is not possible.,430764,424792
1067A,"Woodhouse Lane and Pilden lane (site accessed from), East Ardsley WF3",11.7,"",262,R,"",Greenfield,Green Belt site.  The original SHLAA submission has been split in two.  Site A is isolated and unrelated to settlement and would result in a significant encroachment into the Green Belt which could set a precedent for further unrestricted sprawl.,430179,424561
1067B,"Woodhouse Lane and Pilden lane (site accessed from), East Ardsley WF3",2,"",53,A,"",Greenfield,"Green Belt site.  The original SHLAA submission has been split in two.  Site B is located to the south of the existing residential area, and is well bounded by a tree line.  Development would 'round off' the settlement.   Highways concerns re suitable access.",430179,424898
1068,"Stoney Lane, East Ardsley, Wakefield  WF3",0.8,"",21,R,"",Greenfield,"Green Belt site.  The site backs onto the motorway interchange roundabout, the slip road makes up the southern boundary.  The site currently acts as a good buffer between the motorway and residential development.   Highways concerns - no suitable access.",430648,424502
1069,"Manor Farm, East Ardsley WF3",3.3,"",87,A,"",Mixed,"Green Belt site.  The site is well related to the existing settlement, fronting the main road and contained by a cricket ground to the south, limiting the potential for further sprawl.  Highways concerns re access.",430357,424938
1072,"Dewsbury Road, Woodkirk  WF12",1.6,"",43,G,"",Greenfield,"Green Belt site. Good flat site to the rear of residential area.  Residential properties to the south and east boundaries.   Northern boundary is raised above the site, offering a natural defensible boundary means the site is well contained.",427017,424989
1096,"Snittles Farm, New Village Way, Churwell   LS27",4.2,"",93,A,Main Urban Area Extension,Greenfield,Site is not within Green Belt but contained by the motorway to the north western boundary and residential to the south east. No Highways issues.  Potential noise constraints from motorway will require mitigation.,427109,430297
1099A,"Hepworth Avenue (land at), Churwell  LS27",9.9,"",231,A,Major Settlement Extension,Greenfield,Site is not within Green Belt but contained by the motorway to the north western boundary and residential to the south east. No Highways issues.  Potential noise constraints from motorway will require mitigation.,426778,429733
1099B,"Hepworth Avenue (land at), Churwell  LS27",3.1,"",77,A,Major Settlement Extension,Greenfield,Site is not within Green Belt but contained by the motorway to the northwestern boundary and residential to the south east. No Highways issues.  Potential noise constraints from motorway - this will need further consideration at detailed design stage.,426981,430048
1112,"Asquith Avenue/Gelderd Road (land off), Nepshaw Lane, Gildersome",16.3,"",428,R,Smaller Settlement Infill,Greenfield,The site is a significant portion of a larger strategic employment allocation which is well  located for this use. An application is currently pending for development of the larger employment allocation. Allocation changed to 'not preferred' following discussions with Cllr Gruen - site returning to employment allocation. RC 27/11/14,425163,428447
1135,"Dewsbury Road - former Woodkirk Station, Woodkirk WF3",4.1,"",50,R,"",Greenfield,"Green Belt site.  Site is raised above surrounding development, steeply sloping and does not relate well to the existing settlement form.  Development would result in linear development and set a precedent for further sprawl into Green Belt.",427054,425167
1143A,"Old Thorpe Lane (land at), Tingley WF3",7.2,"",162,R,"",Mixed,"Green Belt site.  SHLAA site 1143 covers a significant area north of West Ardsley and has been split in six sections for the purposes of this assessment.  Site A is the most northern part and extends up to the boundary with the motorway.  It is not as well related to the existing settlement and its release would result in a  ribbon development.  The site is well contained between roads with little chance of further Green Belt sprawl.  However, given its location development would be contingent on the release of site 1143B to link it to the settlement, and  this would result in a substantial development.",428504,426353
1143C,"Old Thorpe Lane (land at), Tingley WF3",1.6,"",43,R,"",Greenfield,"Green Belt site. SHLAA site 1143 covers a significant area north of West Ardsley and has been split in six sections for the purposes of this assessment.  Site C is an existing playing pitch and designated as N1 greenspace in the existing UDP.  Loss of greenspace would need to be considered through the greenspace review.  See greenspace section, page 37, question G10.  The site also has no road frontage so would need to be developed with 1143B.",428722,426125
1143E,"Old Thorpe Lane (land at), Tingley WF3",5.1,"",114,R,"",Mixed,"Green Belt site. SHLAA site 1143 covers a significant area north of West Ardsley and has been split in six sections for the purposes of this assessment.  Site E is currently in use as a football ground and part of the playing field is protected being designated as N6 protected playing pitch in the existing UDP.  Loss of greenspace would need to be considered through the greenspace review.  See greenspace section, page 37, question G11.",429518,426110
1143F,"Old Thorpe Lane (land at), Tingley WF3",11.3,"",253,A,"",Greenfield,"Green Belt site.  SHLAA site 1143 covers a significant area north of West Ardsley and has been split in six sections for the purposes of this assessment.  Site F is the most eastern part of the site and like the others is well contained by development to the south and the motorway, these boundaries reduce the potential for unrestricted sprawl.  The site itself is well connected to the settlement but only has a small road frontage with the majority of the site set behind exiting properties.",429762,426262
1166,"Horsfall Street (land at), Churwell, Morley LS27",1,"",38,R,Major Settlement Infill,Greenfield,Triangular piece of land behind existing residential properties.  No suitable access into site.  Adjacent existing school.  We are consulting Education on all sites and any comments received will be considered before making final decisions on sites (ie as to whether the site could be needed for expansion).,425660,428769
1171A,Whitehall Road (south of) - Harpers Farm,6.3,"",0,R,"",Mixed,"Green Belt site. Development of the site would fill the Green Belt gap between Farnley and the main urban area, leading to coalescence of the settlements.  Release of the site would create ribbon development  along road frontage.",425498,431242
1200B,"Highfield Drive/Harthill Lane (land off), Gildersome  LS27",1.5,"",39,R,"",Greenfield,"Green Belt site.  Development would represent an incursion into Green Belt, not well related to the existing settlement, creating a precedent for further sprawl.  The site has no access.",424993,429434
1205,"Mill Lane (land off), East Ardsley WF3",1.2,"",33,P,"",Mixed,Minerals safeguard site,431173,425630
1207,"Millshaw Park Industrial Estate, Millshaw Park Lane, Millshaw  LS11",11.5,"",334,R,Main Urban Area Infill,Brownfield,The site is within an employment area and it is considered that the site should be retained for future employment use.,427933,429898
1208,"White Rose Shopping , Dewsbury Road  LS11",32.6,"",175,R,Main Urban Area Infill,Brownfield,In current retail use (White Rose Centre),428188,429124
1209,Dewsbury Road - Cotton Mill (Site A) and Grove Farm (Site B)  LS11,33.3,"",862,R,"",Mixed,"Green Belt site.  The site is isolated from the existing built area, and would only be viable with a large scale extension to the east of Morley. Development here would significantly reduce the Green Belt gap between Morley and Middleton.",428222,428395
1220B,Churwell (land to the east of)  LS27,18,"",471,R,"",Greenfield,Green Belt site.  The site has been split into A and B.  Development of site B would reduce the gap between Morley/Churwell and the White Rose Centre and set a precedent for further Green Belt sprawl.,427736,429256
1229,Churwell (land at) - north of Ibbetson Oval and adjacent to M621,2.3,"",61,R,"",Greenfield,"Whilst not within the Green Belt, the site is set behind existing residential development and is adjacent to an area of woodland and recreation maintained by Parks and Countryside.  No direct access.",426506,429496
1260,"Batley Road (Land to north and south of), Tingley, Wakefield  WF3 1HA",57,"",1282,R,"",Mixed,"Green Belt site.  The site is unrelated to the existing settlement form and development would represent a significant incursion into Green Belt in an area of strategic Green Belt importance, adjacent the boundary with Kirklees.  Highway concerns re accessibility.",,
1266,"Wakefield Road (land at),  Drighlington",5.5,"",146,R,"",Greenfield,"Green Belt site. Development would lead to the merging of Drighlington and Gildersome, contrary to one of the purposes of Green Belts to prevent coalescence of settlements.",423392,428245
1274,East Ardsley (land north of)  WF3,14.5,"",326,A,"",Mixed,"Green Belt site.  Development of the site in conjunction with adjacent site 2155 could be considered to round off the settlement form, although the scale of development cumulatively with other sites would be large.  Highway concerns re accessibility and access provision - requires adjacent sites for acceptable access.",430014,425814
1275A,"Wide Lane (land north of), Morley",3.5,"",90,A,"",Greenfield,"Green Belt site. The site extends to the east of Morley and has been split into two sections.   Site A adjoins the urban area and whilst extending beyond the existing settlement, would still allow a green buffer to remain along Dewsbury Road corridor, maintaining a Green Belt gap between Morley and Middleton.  If developed with site 1279 it could round off the settlement.",428202,427910
1275B,"Wide Lane (land north of), Morley",6.4,"",166,R,"",Greenfield,Green Belt site.  The site extends to the east of Morley and has been split into two sections.   Site B is the western section of site 1275 and provides important separation between settlements.,428407,427935
1279,"Wide Lane - Owlers  Farm Extension, Morley",3.5,"",91,A,"",Greenfield,"Green Belt site. This would need to be developed alongside the adjacent Protected Area of Search (PAS) site 1285 for it to be connected to the urban area.  The site extends to the east of Morley and there is potential for this site alongside 1275A to the north to round off the settlement if both sites were brought forward for development.  This would still leave a green gap between the sites within the Dewsbury Road corridor, and retain a sense of separation between Morley and Middleton to the east.",428268,427628
1280,"Station Road (land at), Morley",0.6,"",21,R,Major Settlement Infill,Greenfield,"The site is designated as N1 Greenspace on the existing UDP - Loss of greenspace would need to be considered through the greenspace review.  See greenspace section, page 37, question G13.   The site is in a densely built up area, with employment and residential uses adjacent.",426670,428197
1283,"Lane Side Farm Extension,  Morley",29.5,"",560,R,"",Greenfield,"Green Belt site.  Site falls away steeply down to a railway cutting.  Highways concerns re access.  Development would represent a major incursion into the Green Belt gap separating Morley and Middleton, contrary to one of the purposes of Green Belts in preventing coalescence of settlements.",427404,428769
1284B,"Albert Drive - Low Moor Farm Extension,  Morley",11.6,"",303,R,"",Greenfield,"Green Belt site.  Site B is the eastern part of the original SHLAA submission.  Site B is unrelated to the existing settlement form and development would represent a major incursion into Green Belt, reducing the gap between Morley and Middleton.",427845,428464
1325,Dewsbury Road (501)  LS11 5LL,0.8,"",28,R,Main Urban Area Infill,Brownfield,The site is located within an existing employment area and is considered more appropriate for employment use.,429616,430301
1330B,"Haigh Moor Road - Jude's Point, West Ardsley, WF3 1EF",1.5,"",0,G,Smaller Settlement Infill,Greenfield,Site within the existing settlement.  Site  A has planning permission (shown as a lime green site) which includes access through to  site B and is part of the same field.   Residential development is considered acceptable in principle. Subsumed into new boundary for 3373C drawn 12/9/14. Post IO capacity set to 0,428494,425250
1332,"Adwalton - Penfields, Drighlington",18.4,"",414,A,"",Greenfield,Green Belt site. Development would round off the settlement up to the A650 and be contained by the major road which acts as a defensible boundary.  Highways concerns re poor accessibility and limited access provision.,422795,428040
1334,"Pitty Close Farm, Drighlington  BD11",14.3,"",321,R,"",Greenfield,Green Belt site.  The site is unrelated to the existing settlement. Development of the site would be an isolated island and create unrestricted sprawl into the Green Belt and a precedent for further sprawl.  Poor site access.,423195,428920
1336,"Westerton Road (land at), West Ardsley",2,"",0,G,Smaller Settlement Infill,Greenfield,The site is within the existing settlement and residential development is considered acceptable in principle. Subsumed into new boundary for 3373A drawn 12/9/14. Opost IO capacity set to 0,428275,425357
5165,Land at Moor Knoll Lane East Ardsley,0.5,"",16,NonIO,"",Mix 70:30,Green Belt site. Development of the could lead to unrestricted sprawl into the Green Belt. The site has indefensible boundaries.,430223,426164
2037,"Fall Lane, East Ardsley",0.6,"",16,P,"",Brownfield,not within settlement hierarchy,431122,426004
2095,"Stank Hall Barn, Beeston  LS11",8.2,"",72,R,"",Mixed,"Green Belt site, ancient monument and conservation area status covers much of the site.  A small element of the site is 3ai (high) flood risk.  The site is isolated and is identified as green infrastructure in the Core Strategy.  Development would represent a finger incursion into Green Belt, unrelated to the existing settlement form.",428523,428833
2096,"West Wood Road, Middleton  LS10",5.9,"",103,R,"",Greenfield,"Green Belt site, between Morley and Middleton.  Separated from the urban area with no connections to either settlement (Morley or Middleton).  The land is steeply sloping.  Release of the site would represent an island of development in the Green Belt gap between Morley and Middleton, totally unrelated to the existing settlement.",428836,427721
2098B,"Sissons Farm, Middleton  LS10",26.8,"",703,R,"",Greenfield,"Green Belt site.  Original SHLAA submission split into 3.  Site B has substantial tree cover and part is situated between the existing and disused railway embankments, making development very difficult.",429206,427436
2099,"Dunningley Hill, Tingley  WF3",3.1,"",82,R,"",Greenfield,"Green Belt site. The site is  separated from the urban area by Green Belt, a Protected Area of Search (PAS) site on the existing UDP and the motorway.  Release of the site would result in an isolated island of development, unrelated to the existing settlement.  The site is covered by dense woodland.  Highway concerns re accessibility and poor access options.",428420,426876
2100B,"Throstle Lane Playing Fields, Middleton  LS10",2.3,"",125,R,Main Urban Area Infill,Greenfield,"The site is within the urban area, but designated as N1 greenspace on the existing UDP.  As it is in a fairly densely built up area, its release needs to be considered in the context of the greenspace review.   See also greenspace section, page 37, question G15.",430211,427263
2104,"Leeds Road, Lofthouse  WF3",11.8,"",0,R,"",Greenfield,Green Belt site. Development of the site would cross the disused railway line that runs along the western boundary. This is a strong defensible boundary that if breached could result in a high potential for further sprawl into the Green Belt.  There is a Local Nature Area in the northern section.  The southern section is also reserved for a potential new school site in the existing UDP.  We are consulting Education on all sites and any comments received will be considered before making final decisions on sites.,432865,426951
2114,"Gelderd Road, Wortley  LS12",1.9,"",60,R,"",Greenfield,"Green Belt site, not well related to the existing settlement, with no defensible boundary.  Highway concerns re accessibility and access.",426915,430734
2155,Ardsley Common (south of),11.8,"",246,A,"",Mixed,"Green Belt site.  Development of the site in conjunction with adjacent site 1274 could be considered to round off the settlement form, although the scale of development cumulatively with other sites would be large.  Highway concerns re accessibility and access provision - requires adjacent sites for acceptable access.",430100,425988
2159,"Whitehall Road, Craven Park, Farnley",21.7,"",0,R,"",Greenfield,Green Belt site.  Isolated site unconnected to the built up area.  Development would affect the Green Belt gap between Farnley and the urban area.,425697,431076
2164,"Broad Oaks Farm, Churwell",9.6,"",251,R,"",Greenfield,"Green Belt site.  By itself the site is isolated and unrelated to the existing settlement.  Development would represent a significant incursion into the Green Belt gap between Morley and Middleton, setting a precedent for further sprawl.  Highway concerns re access - no access to adopted highway.",427671,428967
3007,Land At M621 Junction 27 And Wakefield Road Gildersome Leeds,3.7,"",97,R,Smaller Settlement Infill,Greenfield,"Existing employment allocation in the existing UDP, well related to the motorway and partially implemented for employment use.  Residential use not considered acceptable given existing allocation and adjacent uses.",424381,428040
3056,"Wood Lane, Farnley",21.8,"",572,A,"",Greenfield,"Green Belt site.  Development potential through linking of sites 2078, 3056 4029 and 1171B dependent on the necessary infrastructure and link road from Whitehall Road to Gelderd Road.",426408,431117
